t,year,month,day,hour,plant,generation_mwh,on,startup,shutdown
9,2011,7,1,10,GAS,292.8057180000006,1,1,0
9,2011,7,1,10,HYDRO,268.05618,1,0,0
9,2011,7,1,10,OTHER COAL,0.0,0,0,0
10,2011,7,1,11,Scherer,2860.11,1,0,0
10,2011,7,1,11,Bowen,0.0,0,0,0
10,2011,7,1,11,Jack McDonough,0.0,0,0,0
10,2011,7,1,11,Edwin I Hatch,1626.41228,1,0,0
10,2011,7,1,11,Vogtle,2088.696,1,0,0
10,2011,7,1,11,OIL,75.83748,1,0,0
10,2011,7,1,11,BIOMASS,470.95972,1,0,0
10,2011,7,1,11,GAS,543.982187999999,1,0,0
10,2011,7,1,11,HYDRO,268.05618,1,0,0
10,2011,7,1,11,OTHER COAL,0.0,0,0,0
11,2011,7,1,12,Scherer,2860.11,1,0,0
11,2011,7,1,12,Bowen,0.0,0,0,0
11,2011,7,1,12,Jack McDonough,0.0,0,0,0
11,2011,7,1,12,Edwin I Hatch,1626.41228,1,0,0
11,2011,7,1,12,Vogtle,2088.696,1,0,0
11,2011,7,1,12,OIL,75.83748,1,0,0
11,2011,7,1,12,BIOMASS,470.95972,1,0,0
11,2011,7,1,12,GAS,786.9057179999991,1,0,0
11,2011,7,1,12,HYDRO,268.05618,1,0,0
11,2011,7,1,12,OTHER COAL,0.0,0,0,0
12,2011,7,1,13,Scherer,2860.11,1,0,0
12,2011,7,1,13,Bowen,0.0,0,0,0
12,2011,7,1,13,Jack McDonough,0.0,0,0,0
12,2011,7,1,13,Edwin I Hatch,1626.41228,1,0,0
12,2011,7,1,13,Vogtle,2088.696,1,0,0
12,2011,7,1,13,OIL,75.83748,1,0,0
12,2011,7,1,13,BIOMASS,470.95972,1,0,0
12,2011,7,1,13,GAS,1472.9527769999993,1,0,0
12,2011,7,1,13,HYDRO,268.05618,1,0,0
12,2011,7,1,13,OTHER COAL,0.0,0,0,0
13,2011,7,1,14,Scherer,2860.11,1,0,0
13,2011,7,1,14,Bowen,0.0,0,0,0
13,2011,7,1,14,Jack McDonough,0.0,0,0,0
13,2011,7,1,14,Edwin I Hatch,1626.41228,1,0,0
13,2011,7,1,14,Vogtle,2088.696,1,0,0
13,2011,7,1,14,OIL,75.83748,1,0,0
13,2011,7,1,14,BIOMASS,470.95972,1,0,0
13,2011,7,1,14,GAS,1671.5720900000003,1,0,0
13,2011,7,1,14,HYDRO,268.05618,1,0,0
13,2011,7,1,14,OTHER COAL,1081.115979999999,1,1,0
14,2011,7,1,15,Scherer,2860.11,1,0,0
14,2011,7,1,15,Bowen,0.0,0,0,0
14,2011,7,1,15,Jack McDonough,0.0,0,0,0
14,2011,7,1,15,Edwin I Hatch,1626.41228,1,0,0
14,2011,7,1,15,Vogtle,2088.696,1,0,0
14,2011,7,1,15,OIL,75.83748,1,0,0
14,2011,7,1,15,BIOMASS,470.95972,1,0,0
14,2011,7,1,15,GAS,1761.30524,1,0,0
14,2011,7,1,15,HYDRO,268.05618,1,0,0
14,2011,7,1,15,OTHER COAL,2180.324009999999,1,0,0
15,2011,7,1,16,Scherer,2860.11,1,0,0
15,2011,7,1,16,Bowen,0.0,0,0,0
15,2011,7,1,16,Jack McDonough,0.0,0,0,0
15,2011,7,1,16,Edwin I Hatch,1626.41228,1,0,0
15,2011,7,1,16,Vogtle,2088.696,1,0,0
15,2011,7,1,16,OIL,75.83748,1,0,0
15,2011,7,1,16,BIOMASS,470.95972,1,0,0
15,2011,7,1,16,GAS,1761.30524,1,0,0
15,2011,7,1,16,HYDRO,268.05618,1,0,0
15,2011,7,1,16,OTHER COAL,2638.400479999999,1,0,0
16,2011,7,1,17,Scherer,2860.11,1,0,0
16,2011,7,1,17,Bowen,0.0,0,0,0
16,2011,7,1,17,Jack McDonough,0.0,0,0,0
16,2011,7,1,17,Edwin I Hatch,1626.41228,1,0,0
16,2011,7,1,17,Vogtle,2088.696,1,0,0
16,2011,7,1,17,OIL,75.83748,1,0,0
16,2011,7,1,17,BIOMASS,470.95972,1,0,0
16,2011,7,1,17,GAS,1761.30524,1,0,0
16,2011,7,1,17,HYDRO,268.05618,1,0,0
16,2011,7,1,17,OTHER COAL,2770.882829999999,1,0,0
17,2011,7,1,18,Scherer,2860.11,1,0,0
17,2011,7,1,18,Bowen,0.0,0,0,0
17,2011,7,1,18,Jack McDonough,0.0,0,0,0
17,2011,7,1,18,Edwin I Hatch,1626.41228,1,0,0
17,2011,7,1,18,Vogtle,2088.696,1,0,0
17,2011,7,1,18,OIL,75.83748,1,0,0
17,2011,7,1,18,BIOMASS,470.95972,1,0,0
17,2011,7,1,18,GAS,1761.30524,1,0,0
17,2011,7,1,18,HYDRO,268.05618,1,0,0
17,2011,7,1,18,OTHER COAL,3013.47107,1,0,0
18,2011,7,1,19,Scherer,2860.11,1,0,0
18,2011,7,1,19,Bowen,0.0,0,0,0
18,2011,7,1,19,Jack McDonough,0.0,0,0,0
18,2011,7,1,19,Edwin I Hatch,1626.41228,1,0,0
18,2011,7,1,19,Vogtle,2088.696,1,0,0
18,2011,7,1,19,OIL,75.83748,1,0,0
18,2011,7,1,19,BIOMASS,470.95972,1,0,0
18,2011,7,1,19,GAS,1761.30524,1,0,0
18,2011,7,1,19,HYDRO,268.05618,1,0,0
18,2011,7,1,19,OTHER COAL,3343.1181199999996,1,0,0
19,2011,7,1,20,Scherer,2860.11,1,0,0
19,2011,7,1,20,Bowen,0.0,0,0,0
19,2011,7,1,20,Jack McDonough,0.0,0,0,0
19,2011,7,1,20,Edwin I Hatch,1626.41228,1,0,0
19,2011,7,1,20,Vogtle,2088.696,1,0,0
19,2011,7,1,20,OIL,75.83748,1,0,0
19,2011,7,1,20,BIOMASS,470.95972,1,0,0
19,2011,7,1,20,GAS,1761.30524,1,0,0
19,2011,7,1,20,HYDRO,268.05618,1,0,0
19,2011,7,1,20,OTHER COAL,3431.5004799999992,1,0,0
20,2011,7,1,21,Scherer,2860.11,1,0,0
20,2011,7,1,21,Bowen,0.0,0,0,0
20,2011,7,1,21,Jack McDonough,0.0,0,0,0
20,2011,7,1,21,Edwin I Hatch,1626.41228,1,0,0
20,2011,7,1,21,Vogtle,2088.696,1,0,0
20,2011,7,1,21,OIL,75.83748,1,0,0
20,2011,7,1,21,BIOMASS,470.95972,1,0,0
20,2011,7,1,21,GAS,1761.30524,1,0,0
20,2011,7,1,21,HYDRO,268.05618,1,0,0
20,2011,7,1,21,OTHER COAL,3256.2063599999988,1,0,0
21,2011,7,1,22,Scherer,2860.11,1,0,0
21,2011,7,1,22,Bowen,0.0,0,0,0
21,2011,7,1,22,Jack McDonough,0.0,0,0,0
21,2011,7,1,22,Edwin I Hatch,1626.41228,1,0,0
21,2011,7,1,22,Vogtle,2088.696,1,0,0
21,2011,7,1,22,OIL,75.83748,1,0,0
21,2011,7,1,22,BIOMASS,470.95972,1,0,0
21,2011,7,1,22,GAS,1761.30524,1,0,0
21,2011,7,1,22,HYDRO,268.05618,1,0,0
21,2011,7,1,22,OTHER COAL,3079.4416499999993,1,0,0
22,2011,7,1,23,Scherer,2860.11,1,0,0
22,2011,7,1,23,Bowen,0.0,0,0,0
22,2011,7,1,23,Jack McDonough,0.0,0,0,0
22,2011,7,1,23,Edwin I Hatch,1626.41228,1,0,0
22,2011,7,1,23,Vogtle,2088.696,1,0,0
22,2011,7,1,23,OIL,75.83748,1,0,0
22,2011,7,1,23,BIOMASS,470.95972,1,0,0
22,2011,7,1,23,GAS,1761.30524,1,0,0
22,2011,7,1,23,HYDRO,268.05618,1,0,0
22,2011,7,1,23,OTHER COAL,2516.5887099999986,1,0,0
23,2011,7,1,24,Scherer,2860.11,1,0,0
23,2011,7,1,24,Bowen,0.0,0,0,0
23,2011,7,1,24,Jack McDonough,0.0,0,0,0
23,2011,7,1,24,Edwin I Hatch,1626.41228,1,0,0
23,2011,7,1,24,Vogtle,2088.696,1,0,0
23,2011,7,1,24,OIL,75.83748,1,0,0
23,2011,7,1,24,BIOMASS,470.95972,1,0,0
23,2011,7,1,24,GAS,1761.30524,1,0,0
23,2011,7,1,24,HYDRO,268.05618,1,0,0
23,2011,7,1,24,OTHER COAL,1872.6181199999996,1,0,0
